mjd,ra,dec
60949.000000,112.080510,10.209970
60949.125000,112.082180,10.208520
60949.250000,112.083820,10.207080
60949.375000,112.085390,10.205650
60949.500000,112.086870,10.204220
60949.625000,112.088300,10.202780
60949.750000,112.089710,10.201330
60949.875000,112.091170,10.199870
60950.000000,112.092690,10.198420
60950.125000,112.094230,10.196980
60950.250000,112.095750,10.195550
60950.375000,112.097200,10.194130
60950.500000,112.098560,10.192710
60950.625000,112.099870,10.191290
60950.750000,112.101160,10.189850
60950.875000,112.102500,10.188400
60951.000000,112.103900,10.186960
60951.125000,112.105320,10.185530
60951.250000,112.106720,10.184120
60951.375000,112.108050,10.182710
60951.500000,112.109290,10.181300
60951.625000,112.110470,10.179880
60951.750000,112.111650,10.178460
60951.875000,112.112870,10.177020
60952.000000,112.114150,10.175590
60952.125000,112.115450,10.174180
60952.250000,112.116730,10.172770
60952.375000,112.117930,10.171380
60952.500000,112.119050,10.169980
60952.625000,112.120110,10.168580
60952.750000,112.121170,10.167160
60952.875000,112.122270,10.165740
60953.000000,112.123430,10.164320
60953.125000,112.124610,10.162920
60953.250000,112.125770,10.161520
60953.375000,112.126850,10.160140
60953.500000,112.127840,10.158760
60953.625000,112.128780,10.157360
60953.750000,112.129720,10.155960
60953.875000,112.130700,10.154550
60954.000000,112.131740,10.153150
60954.125000,112.132800,10.151750
60954.250000,112.133830,10.150380
60954.375000,112.134790,10.149010
60954.500000,112.135660,10.147630
60954.625000,112.136480,10.146250
60954.750000,112.137290,10.144860
60954.875000,112.138150,10.143470
60955.000000,112.139070,10.142080
60955.125000,112.140010,10.140700
60955.250000,112.140920,10.139330
60955.375000,112.141750,10.137970
60955.500000,112.142500,10.136620
60955.625000,112.143190,10.135250
60955.750000,112.143890,10.133870
60955.875000,112.144630,10.132490
60956.000000,112.145420,10.131110
60956.125000,112.146240,10.129750
60956.250000,112.147020,10.128390
60956.375000,112.147730,10.127050
60956.500000,112.148360,10.125710
60956.625000,112.148930,10.124350
60956.750000,112.149500,10.122990
60956.875000,112.150110,10.121620
60957.000000,112.150790,10.120260
60957.125000,112.151480,10.118900
60957.250000,112.152140,10.117570
60957.375000,112.152730,10.116240
60957.500000,112.153230,10.114910
60957.625000,112.153670,10.113570
60957.750000,112.154120,10.112220
60957.875000,112.154620,10.110860
60958.000000,112.155160,10.109510
60958.125000,112.155740,10.108180
60958.250000,112.156270,10.106850
60958.375000,112.156730,10.105540
60958.500000,112.157100,10.104220
60958.625000,112.157430,10.102900
60958.750000,112.157750,10.101560
60958.875000,112.158120,10.100220
60959.000000,112.158550,10.098890
60959.125000,112.159000,10.097570
60959.250000,112.159410,10.096260
60959.375000,112.159740,10.094960
60959.500000,112.159990,10.093660
60959.625000,112.160180,10.092350
60959.750000,112.160390,10.091030
60959.875000,112.160640,10.089700
60960.000000,112.160940,10.088380
60960.125000,112.161260,10.087080
60960.250000,112.161540,10.085780
60960.375000,112.161750,10.084500
60960.500000,112.161870,10.083210
60960.625000,112.161940,10.081920
60960.750000,112.162020,10.080610
60960.875000,112.162140,10.079310
60961.000000,112.162320,10.078000
60961.125000,112.162520,10.076710
60961.250000,112.162680,10.075440
60961.375000,112.162760,10.074170
60961.500000,112.162750,10.072900
60961.625000,112.162690,10.071620
60961.750000,112.162650,10.070330
60961.875000,112.162650,10.069040
60962.000000,112.162700,10.067750
60962.125000,112.162770,10.066480
60962.250000,112.162800,10.065220
60962.375000,112.162750,10.063970
60962.500000,112.162620,10.062710
60962.625000,112.162440,10.061450
60962.750000,112.162260,10.060180
60962.875000,112.162140,10.058900
60963.000000,112.162070,10.057630
60963.125000,112.162010,10.056380
60963.250000,112.161920,10.055140
60963.375000,112.161740,10.053900
60963.500000,112.161480,10.052660
60963.625000,112.161170,10.051420
60963.750000,112.160870,10.050160
60963.875000,112.160620,10.048900
60964.000000,112.160420,10.047650
60964.125000,112.160240,10.046410
60964.250000,112.160010,10.045190
60964.375000,112.159710,10.043970
60964.500000,112.159320,10.042750
60964.625000,112.158880,10.041530
60964.750000,112.158460,10.040290
60964.875000,112.158080,10.039050
60965.000000,112.157760,10.037810
60965.125000,112.157450,10.036590
60965.250000,112.157100,10.035390
60965.375000,112.156660,10.034190
60965.500000,112.156140,10.032990
60965.625000,112.155580,10.031780
60965.750000,112.155030,10.030560
60965.875000,112.154530,10.029330
60966.000000,112.154080,10.028120
60966.125000,112.153640,10.026920
60966.250000,112.153160,10.025730
60966.375000,112.152590,10.024550
60966.500000,112.151940,10.023370
60966.625000,112.151250,10.022180
60966.750000,112.150580,10.020980
60966.875000,112.149950,10.019770
60967.000000,112.149370,10.018580
60967.125000,112.148810,10.017390
60967.250000,112.148190,10.016230
60967.375000,112.147500,10.015070
60967.500000,112.146720,10.013900
60967.625000,112.145900,10.012730
60967.750000,112.145100,10.011550
60967.875000,112.144350,10.010360
60968.000000,112.143640,10.009190
60968.125000,112.142950,10.008030
60968.250000,112.142210,10.006880
60968.375000,112.141380,10.005740
60968.500000,112.140480,10.004590
60968.625000,112.139530,10.003440
60968.750000,112.138600,10.002280
60968.875000,112.137720,10.001110
60969.000000,112.136890,9.999960
60969.125000,112.136070,9.998810
60969.250000,112.135200,9.997690
60969.375000,112.134240,9.996560
60969.500000,112.133210,9.995440
60969.625000,112.132130,9.994310
60969.750000,112.131080,9.993160
60969.875000,112.130070,9.992020
60970.000000,112.129110,9.990890
60970.125000,112.128160,9.989770
60970.250000,112.127160,9.988660
60970.375000,112.126080,9.987560
60970.500000,112.124920,9.986450
60970.625000,112.123710,9.985340
60970.750000,112.122530,9.984220
60970.875000,112.121390,9.983100
60971.000000,112.120310,9.981980
60971.125000,112.119230,9.980880
60971.250000,112.118100,9.979800
60971.375000,112.116890,9.978720
60971.500000,112.115600,9.977640
60971.625000,112.114270,9.976540
60971.750000,112.112950,9.975440
60971.875000,112.111690,9.974340
60972.000000,112.110480,9.973250
60972.125000,112.109280,9.972170
60972.250000,112.108020,9.971110
60972.375000,112.106680,9.970050
60972.500000,112.105250,9.968990
60972.625000,112.103790,9.967920
60972.750000,112.102360,9.966840
60972.875000,112.100970,9.965760
60973.000000,112.099630,9.964690
60973.125000,112.098300,9.963630
60973.250000,112.096910,9.962590
60973.375000,112.095440,9.961560
60973.500000,112.093890,9.960520
60973.625000,112.092300,9.959470
60973.750000,112.090740,9.958410
60973.875000,112.089220,9.957360
60974.000000,112.087760,9.956310
60974.125000,112.086300,9.955270
60974.250000,112.084780,9.954260
60974.375000,112.083180,9.953240
60974.500000,112.081500,9.952220
60974.625000,112.079790,9.951200
60974.750000,112.078100,9.950160
60974.875000,112.076460,9.949130
60975.000000,112.074870,9.948110
60975.125000,112.073280,9.947100
60975.250000,112.071630,9.946100
60975.375000,112.069900,9.945110
60975.500000,112.068100,9.944110
60975.625000,112.066260,9.943110
60975.750000,112.064440,9.942100
60975.875000,112.062680,9.941090
60976.000000,112.060960,9.940090
60976.125000,112.059240,9.939100
60976.250000,112.057470,9.938130
60976.375000,112.055610,9.937160
60976.500000,112.053680,9.936190
60976.625000,112.051710,9.935210
60976.750000,112.049770,9.934220
60976.875000,112.047880,9.933230
60977.000000,112.046040,9.932260
60977.125000,112.044190,9.931290
60977.250000,112.042290,9.930350
60977.375000,112.040310,9.929400
60977.500000,112.038240,9.928450
60977.625000,112.036150,9.927500
60977.750000,112.034080,9.926530
60977.875000,112.032070,9.925570
60978.000000,112.030100,9.924620
60978.125000,112.028130,9.923680
60978.250000,112.026110,9.922750
60978.375000,112.023990,9.921830
60978.500000,112.021800,9.920910
60978.625000,112.019580,9.919980
60978.750000,112.017390,9.919040
60978.875000,112.015250,9.918100
60979.000000,112.013160,9.917170
